Kode_Promo|TanggalPromo|AREAID|Distributor_ID|Distributor_Name|GroupPromo_ID|PromoType_ID|ClassPromo_ID|COA|TITLE|Tgl_Awal|Tgl_AKhir|Total_sales_TaRGET|Background|promo_mechanisme|claim_mechanisme|claimtradeoff|costofpromo|Type_of_Cost|cost_rasio|status|Complete|tanggal_reco|Jenis_Biaya|Created_by|last_update|Approval1|Approval2|Tgl_approval2|Close|Partial_amount|Kode_budget|alokasi|Value|GroupOutlet_ID|sales_Target|KdPrincipal|level2Name
BP16010160|2016-01-11 00:00:00|NO DATA|Nasional|Nasional|Nasional|SALES MT DLS|TP LOKAL|601.5101|PROGRAM ADD DISC 10% YOGYA, BORMA, YOMART ALL PRODUK MKI|2015-12-17 00:00:00|2015-12-31 00:00:00|102000000|PUSH OMSET|PROGRAM ADD DISC 10% ALL PRODUK MKI UNTUK OUTLET YOGYA, BORMA, DAN GRIYAPROGRAM INI BERLAKU UNTUK SUBDIST DLS BANDUNG 1 DAN DLS BANDUNG 2NO PROPOSAL:PROPBDG-76/MOD/DLS/XII/15	PROPBDG-77/MOD/DLS/XII/15PROPBDG-241/MOD/DLS/XII/15			NO RECCO: RC/MKI/MKT/MT/15111986	|TRANSFER|Uang|1020000000|NO DATA|10.000000|Approved|WISNU SAMUDRA|2016-01-08 00:00:00|J|Melia|Gladys.Citra|ROBIN M YUANA|WISNU SAMUDRA|2016-01-11 17:42:00|0|0|BD1601000|100|10200000.00||102000000|MKI|SALES MKI
BP16010180|2016-01-12 00:00:00|NO DATA|1043047|DUTA LESTARI SENTRATAMA, PT - TANGERANG 2|Distributor|SALES MT NONDLS|TP LOKAL|601.5101|PROGRAM FREEGOODS HYPERMART DESEMBER 2015|2015-12-01 00:00:00|2015-12-31 00:00:00|0|PUSH OMSET|FREEGOODS DIBERIKAN JIKA TARGET TERCAPAIBIAYA PROMO : 2,538,555NO PROP : PROPTGR2-418/,OD/DLS-MKI/XII/2015NORECO: RC/MKI/MKT/MT/15111986|TRANSFER|Barang|703855500|NO DATA|703855500.000000|Approved|Iwan Setiawan|2016-01-12 00:00:00|J|Gladys.Citra|Gladys.Citra|||2016-01-12 09:52:00|0|0|BD1601000|100|7038555.00||0|MKI|SALES MKI
BP16010193|2016-01-18 00:00:00|NO DATA|1043045|DUTA LESTARI SENTRATAMA, PT - SURABAYA 2|Distributor|SALES MT DLS|TP LOKAL|601.5101|PEMBAYARAN GAJI SPG EVENT DORAEMON DI GRAND CITY MALL SURABAYA PERIODE 7 DESEMBER 2015-31 DESEMBER 2015 (DLS SBY 2)|2015-12-07 00:00:00|2015-12-31 00:00:00|0||1	Pembayaran Gaji SPG Event Doraemon di Grand City Mall Surabaya periode 7 Desember – 31 Desember 20152	Pembayaran Gaji  & Lembur SPG sesuai  mekanisme surat yang di terbitkan oleh MKI dengan no REF 01/BM/MKI/XII/15   tanggal 15 Desember 2015 dan no REF 02/BM/MKI/XII/15   tanggal 17 Desember 20153	Perhitungan Gaji di hitung dai selisih margin antara Distributor Buying Price (DBP) dengan Customer Buying Price (CBP)-	DBP ( setelah di kurangi disc 7%)Pia 100 Mini Dora Rp 80561   Smile Dora Rp 92279-	CBPPia 100 Mini Dora Rp 120000Smile Dora Rp 125000-	Selisih MarginPia 100 Mini Dora Rp 39439Smile Dora Rp 32721-	Selisih Margin tersebut akan di gunakan sebagai berikut:1	Gaji SPG 2 orang @Rp 104231/hari2	Sewa rak selama 70 hari Rp 2625000 (potong tagihan)3	Jika ada selisih lebih dari margin tersebut , harap dibayarkan ke PTMKI4	Jika ada selisih kurang dari margin tersbut, maka PTMKI akan membayarkan sisa kekurangannya ke PTDLS        4 Perhitungan Biaya Lembur SPG sbb :           - Minimal 2 jam setelah jam kerja shift pagi selesai (minimal jam 1730) mendapat upah lembur         sebesar Rp 25000 (tidak berlaku kelipatan ) atau           - Sampai jam 2200 mendapat upah lembur sebesar Rp, 100000Upah Lembur ini di bayarkan oleh PTDLS bersama dengan gaji bulanan SPG        5Untuk Periode 7 Desember-31 Desember Gaji SPG yang di bayarkan total Rp 5707319 dengan perincian  : SPG Eka Agustin Rp, 3010006, SPG Alifiyah Khoirun Rp 2697313       6NO RECO : RC/MKI/MKT/BA/16011275|TRANSFER|Uang|570731900|NO DATA|570731900.000000|Approved|NG HOK LUNG|2016-01-13 00:00:00|J|Evi.Farikah|Gladys.Citra|ROBIN|NG HOK LUNG|2016-01-18 08:24:00|0|0|BD1601000|100|5707319.00||0|MKI|SALES MKI
BP16010217|2016-01-18 00:00:00|NO DATA|1043067|NAGA MAS, UD - SOLO|Distributor|SALES MT NONDLS|LISTING|601.5103|TAMBAHAN BUDGET BP15121270 PROGRAM LISTING FEE KINO CANDY FRENTA OUTLET AA/IA (UD NAGAMAS-SOLO)|2015-09-01 00:00:00|2015-10-31 00:00:00|0|Mendorong Selling Out dan Distribusi Produk|PROGRAM LISTING FEE OUTLET AA/IA PRODUK KINO CANDY FRENTAMELAMPIRKAN EMAIL NO RECCO SAAT PROSES KLAIMNO PROP:  NAGAMAS/09/09/2015/01NO RECCO: RC/MKI/MKT/MT/15101981|TRANSFER|Uang|102500000|NO DATA|102500000.000000|Approved|WISNU S|2016-01-18 00:00:00|J|Gladys.Citra|Gladys.Citra|ROBIN|WISNU S|2016-01-18 08:45:00|0|0|BD1601000|100|1025000.00||0|MKI|SALES MKI
BP16010235|2016-01-21 00:00:00|NO DATA|1043038|DUTA LESTARI SENTRATAMA, PT - BEKASI|Distributor|SALES MT DLS|TP LOKAL|601.5101|PROGRAM TP 1+1 PIA MINI PANDAN 75 GR (DLS BEKASI)|2016-01-15 00:00:00|2016-01-30 00:00:00|0|Mendorong Selling Out dan Distribusi Produk|Info Program		:Program TP 1+1 Pia 100 Mini Pandan (Buy 1 Get 1) – DLS BekasiPeriode Program	:15 Januari-30 Januari 2016Produk			: Pia Mini 100 Pandan (ED Feb & Maret 2016)Tujuan Program	:Mendorong selling out dan distribusi produk Pia 100 MiniMekanisme Program	: Buy 1 Get 1 Pia 100 Mini Pack Pandan 75 GR, Outlet Hari-Hari Bekasi Cyber ParkKETENTUAN :1 Kuota program adalah 88 ctn dimana yang menjadi beban MKI adalah 44 ctn2 Klaim tidak boleh melebihi kuota yang telah ditetapkan3 Penjualan putus/tidak ada retur dari outlet atas program tersebut4 Program ini berlaku sampai stock habis sesuai dengan periode program5 RSM memberikan rekapan pencapaian program6Outlet tidak boleh menjual dibawah harga pasar, apabila outlet menjual dibawah harga pasarmaka program ini dibatalkan7Sub distributor klaim ke PT DLS dan kwitansi atas nama Morinaga Kino Indonesia, UP : Ibu Linapaling lambat 1 bulan setelah periode program berakhir Apabila klaim lebih dari waktu yangditentukan maka klaim akan ditolak|TRANSFER|Barang|358600000|NO DATA|358600000.000000|Approved|Iwan Setiawan|2016-01-21 00:00:00|J|Gladys.Citra|Gladys.Citra|ROBIN|Iwan Setiawan|2016-01-21 15:14:00|0|0|BD1601000|100|3586000.00||0|MKI|SALES MKI
BP16010237|2016-01-21 00:00:00|NO DATA|1043040|DUTA LESTARI SENTRATAMA, PT - JAKARTA|Distributor|SALES MT DLS|TP LOKAL|601.5101|PROGRAM TP 1+1 PIA 100 MINI (DLS-KAPUK)|2016-01-15 00:00:00|2016-02-15 00:00:00|0|Mendorong Selling Out dan Distribusi Produk|Info Program		:Program TP 1+1 Pia 100 Mini – DLS KapukPeriode Program	:15 Januari-15 Febuari 2016Produk			: Pia Mini 100 Kacang Hijau, Cokelat dan Pandan (ED Feb & Maret 2016)Tujuan Program		:Mendorong selling out dan distribusi produk Pia 100 MiniMekanisme Program	: Buy 1 Get 1 (Pia Mini 100 Kacang Hijau, Cokelat dan Pandan ED feb & Maret 2016), Outlet Hari-Hari ROXY dengan jumlah 96 ctnKETENTUAN :1 Kuota program adalah 96 ctn dimana yang menjadi beban MKI adalah 48 ctn2 Klaim tidak boleh melebihi kuota yang telah ditetapkan3 Penjualan putus/tidak ada retur dari outlet atas program tersebut4 Program ini berlaku sampai stock habis sesuai dengan periode program5 RSM memberikan rekapan pencapaian program6Outlet tidak boleh menjual dibawah harga pasar, apabila outlet menjual dibawah harga pasarmaka program ini dibatalkan7Sub distributor klaim ke PT DLS dan kwitansi atas nama Morinaga Kino Indonesia, UP : Ibu Linapaling lambat 1 bulan setelah periode program berakhir Apabila klaim lebih dari waktu yangditentukan maka klaim akan ditolak|TRANSFER|Barang|391200000|NO DATA|391200000.000000|Approved|Iwan Setiawan|2016-01-21 00:00:00|J|Gladys.Citra|Gladys.Citra|ROBIN|Iwan Setiawan|2016-01-21 15:30:00|0|0|BD1601000|100|3912000.00||0|MKI|SALES MKI
BP16010279|2016-01-22 00:00:00|NO DATA|1043046|DUTA LESTARI SENTRATAMA, PT - TANGERANG 1|Distributor|SALES MT DLS|TP LOKAL|601.5101|PROGRAM MTI 20 +1 (PROPTGR1-03/MOD/KI/1/2016-DLS TGR 1)|2016-01-01 00:00:00|2016-01-31 00:00:00|0||PROGRAM MTI 20 +1 PRODUK CANDY & PIA SNACKIT (DLS TANGERANG 1- PROPTGR1-03/MOD/KI/1/2016)OUTLET :1 ANEKA BUANA II2 BAMBU APUS3 HARMONY4 HANNA5 ANEKA BUANA I6 FORTUNA7 CAHAYASETTING ON PO, TIDAK POTONG TAGIHANPERIODE :01-31 JANUARI 2016|TRANSFER|Barang|114108800|NO DATA|114108800.000000|Approved|Iwan Setiawan|2016-01-22 00:00:00|J|Gladys.Citra|Gladys.Citra|ROBIN|Iwan Setiawan|2016-01-22 19:30:00|0|0|BD1601000|100|1141088.00||0|MKI|SALES MKI
BP16010280|2016-01-25 00:00:00|NO DATA|1043045|DUTA LESTARI SENTRATAMA, PT - SURABAYA 2|Distributor|SALES MT DLS|TP LOKAL|601.5101|PROGRAM FREE GOOD HYPERMART JATIM (DLS SBY 2)|2015-12-01 00:00:00|2015-12-31 00:00:00|0||1	Program FREE GOOD untuk SUB DC JATIM (HYPERMART) DLS SURABAYA 22	Produk All Kino, Snackit3	Periode program 1 Des-31 Des 20154	Mekanisme Promo :-	Klaim dibayar sesudah periode berakhir-	Free Good Pia Snackit 100 75Gr sebanyak 54 ctn5	Cost of  promo : Rp 45000006	NO PROP : PROPSBY2-289/MOD/DLS/XII/20157	NO RECO : RC/MKI/MKT/MT/15111986 (email pak Forry 11 Jan ’16)|TRANSFER|Barang|450000000|NO DATA|450000000.000000|Approved|NG HOK LUNG|2016-01-23 00:00:00|J|Evi.Farikah|Gladys.Citra|ROBIN|NG HOK LUNG|2016-01-25 09:17:00|0|0|BD1601000|100|4500000.00||0|MKI|SALES MKI
BP16010674|2016-01-29 00:00:00|NO DATA|Nasional|Nasional|Nasional|SALES MT DLS|TP NASIONAL|601.5101|PROGRAM DISPLAY BOX IMLEK TAHUN 2567 - PIA 100 MINI|2016-01-31 00:00:00|2016-02-23 00:00:00|0||INFO PROGRAM : Program Display Box Imlek 2567-Pia Mini 100 (All Variants)1)	Produk : Snackit Pia Mini 100 (All Variants)2)	Periode program : 31 Januari-23 Febuari 20163)	Berlaku untuk MT Outlet: Hari-Hari, Naga & Ada (Area Jakarta, Bekasi, Bogor)Tujuan Program :Meningkatkan brand awareness Pia Mini 100 & mendorong selling out produk Pia Mini 100 di area Jakarta, Bekasi dan BogorMEKANISME DAN BENTUK PROGRAM :1) Program ini akan dijalankan di MT Outlet : Hari-Hari, Naga & Ada (Area Jakarta, Bekasi & Bogor)2) Isi 1 display box:3 pcs Pia 100 Mini (boleh dicampur variantnya dalam 1 box) Rak /shelving produk akan dilengkapi POP dari outlet yang berisi pengumuman program ini3) Sebelum program dijalankan, pihak DLS melakukan cek stok produk Pia 100 mini di setiap outlet yang akan diadakan program Apabila stok di outlet tersebut kurang dari quantity alokasi yang ditetapkan, pihak DLS akan meminta pihak outlet untuk buka PO lagi selama periode program berjalan4) Pihak DLS akan merekrut 3 orang merchandiser (MD) dengan upah Rp 150,000/ orang/hari 3 orang MD ini akan bertugas dalam 3 hari kerja berkeliling ke outlet yang akan diadakan program dan akan melakukan re-packing Pia 100 mini ke dalam display box tersebut di outlet yang bersangkutan5) Apabila ada purchase order (PO) yang baru dibuka outlet menyusul (selama periode program dan setelah semua MD selesai melakukan re-packing di setiap outlet), maka apabila diperlukan, DLS akan merekrut 1 orang pekerja harian/cabang untuk melakukan re-packing Pia 100 mini ke dalam Display Box Imlek di setiap cabang DLS (Kapuk, Bekasi, Tangerang 1)6)Pekerja harian akan bekerja maksimal selama 3 hari dengan upah Rp 100,000 / orang / hari7)Gaji MD dan pekerja harian tersebut akan dibayarkan dahulu oleh DLS, MKI akan mengeluarkan reco utk pembayaran gaji MD tersebut8)Display Box Imlek akan dikirimkan supplier ke kantor MKI di Gading Serpong, selanjutnya masing-masing MD akan membawa display box tersebut sesuai jumlah alokasi yang ditetapkan ke outlet yang ditentukanKETENTUAN:1) Program ini berlaku sampai stok habis sesuai periode yang ditetapkan2)Kuota program adalah 3,000 Display Box Imlek dengan pembagian alokasi quantity sesuai yang ditentukan (alokasi terlampir di surat program MKI)3) RSM akan memberikan rekapan pencapaian program4) Jika terjadi retur maka akan diperhitungkan sebagai pengurangan pengambilan5) Outlet tidak boleh menjual dibawah harga pasar, apabila outlet menjual dibawah harga pasar maka program ini dapat dibatalkan6) Sub distributor mohon memberikan Cash Back terlebih dahulu ke outlet setelah mendapatkan hasilVerifikasi dari SMI DLS7) Sub distributor klaim ke PT DLS dan kwitansi atas nama Morinaga Kino Indonesia, UP : Ibu Linapaling lambat 1 bulan setelah periode program berakhir Apabila klaim lebih dari waktu yangditentukan maka klaim akan ditolakNo Ref 	: 001/MKI/MKT/SNK/I/16No Reco 	: RC/MKI/SNK/16010306|TRANSFER|Barang|225000000|NO DATA|225000000.000000|Approved|Nasional|2016-01-29 00:00:00|J|Gladys.Citra|Gladys.Citra|ROBIN|Nasional|2016-01-29 14:03:00|0|0|BD1601000|100|2250000.00||0|MKI|SALES MKI
BP16010713|2016-01-29 00:00:00|NO DATA|1053498|DUTA LESTARI SENTRATAMA, PT - BALI|Distributor|SALES MT DLS|SEWA DISPLAY|601.5102|PROGRAM FREE GOOD (PROPPDS196/MOD/DLS/12/2015)|2015-12-08 00:00:00|2015-12-31 00:00:00|0||PROGRAM ORDER 100 KARTON FREE GOODS 3 KARTON  UNTUK PRODUCT KINO CANDYSPROPDS196/MOD/DLS/12/2015RC/MKI/MKT/MT/15122004|TRANSFER|Barang|22995000|NO DATA|22995000.000000|Approved|Alung|2016-01-29 00:00:00|J|Gladys.Citra|Gladys.Citra|ROBIN|Alung|2016-01-29 18:37:00|0|0|BD1601000|100|229950.00||0|MKI|SALES MKI
